arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
abilene_converter_fuelDispenserLiquid,abilene_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,19.001330000286533
abilene_demand_fuelStation,abilene_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,18.99999999999988
abilene_dist_truckLiquefied,abilene_converter_fuelDispenserLiquid,3.0,0.0,0.0,0.0,8.0,19.001330000286533
abilene_dist_truckLiquefied,fortWorth_dist_truckLiquefied,3.0,0.0,0.0,123.74487,8.0,21.001299999830817
abilene_dist_truckLiquefied,killeen_dist_truckLiquefied,8.0,0.0,0.0,148.850436,8.0,61.00386999954904
amarillo_converter_fuelDispenserLiquid,amarillo_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,31.001330000116294
amarillo_demand_fuelStation,amarillo_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,30.99999999999988
amarillo_dist_truckLiquefied,amarillo_converter_fuelDispenserLiquid,4.0,0.0,0.0,0.0,8.0,31.001330000116294
austin_center_highPurity,austin_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,354.00155999988147
austin_center_lowPurity,austin_converter_purification,1.0,0.0,0.0,0.0,99999999.9,354.00155999988147
austin_converter_fuelDispenserPipeline,austin_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,354.00155999988147
austin_converter_purification,austin_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,354.00155999988147
austin_demand_fuelStation,austin_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,353.99999999999994
austin_dist_pipelineHighPurity,austin_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,354.00155999988147
austin_production_smr-high,austin_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,354.00155999988147
baytown_center_lowPurity,baytown_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.79999999996477
baytown_demand_lowPurity,baytown_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
baytown_dist_pipelineLowPurity,baytown_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999856
baytown_production_smr-noCCSExisting,baytown_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.79999999996477
beaumont_demand_lowPurity,beaumont_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
beaumont_dist_pipelineLowPurity,beaumont_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999857
brazoria_demand_lowPurity,brazoria_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
brazoria_dist_pipelineLowPurity,brazoria_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999855
brownsville_center_highPurity,brownsville_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,28.001669999075744
brownsville_center_lowPurity,brownsville_converter_purification,1.0,0.0,0.0,0.0,99999999.9,28.001669999075744
brownsville_center_lowPurity,brownsville_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,241.99833000093125
brownsville_converter_fuelDispenserPipeline,brownsville_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,28.001669999075744
brownsville_converter_purification,brownsville_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,28.001669999075744
brownsville_demand_fuelStation,brownsville_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,27.999999999999943
brownsville_dist_pipelineHighPurity,brownsville_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,28.001669999075744
brownsville_dist_pipelineLowPurity,mcallen_dist_pipelineLowPurity,1.0,96085841.65487505,14141.70644651595,9.44341,999999.0,241.99833000093125
brownsville_production_smr-high,brownsville_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,270.000000000007
channelview_center_lowPurity,channelview_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,216.89999999996513
channelview_demand_lowPurity,channelview_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
channelview_dist_pipelineLowPurity,channelview_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999856
channelview_dist_pipelineLowPurity,deerPark_dist_pipelineLowPurity,1.0,0.0,2195.304325313963,1.4604300000000001,999999.0,538.0018000038908
channelview_dist_pipelineLowPurity,pasadena_dist_pipelineLowPurity,1.0,0.0,2902.299856304778,1.9307600000000003,999999.0,128.20342999857215
channelview_production_smr-noCCSExisting,channelview_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,216.89999999996513
chocolateBay_converter_fuelDispenserPipeline,chocolateBay_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,20.00165000008853
chocolateBay_demand_fuelStation,chocolateBay_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,19.999999999999943
chocolateBay_demand_lowPurity,chocolateBay_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
chocolateBay_dist_pipelineHighPurity,chocolateBay_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,20.00165000008853
chocolateBay_dist_pipelineHighPurity,chocolateBay_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,108.99170999974753
chocolateBay_dist_pipelineLowPurity,chocolateBay_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,429.01009000023913
chocolateBay_dist_pipelineLowPurity,freeport_dist_pipelineLowPurity,1.0,0.0,24540.026083630994,16.33827,999999.0,642.2036000001531
collegeStation_dist_truckLiquefied,houston_dist_truckLiquefied,3.0,0.0,0.0,76.92483,8.0,20.001279999866302
collegeStation_dist_truckLiquefied,theWoodlands_dist_truckLiquefied,3.0,0.0,0.0,53.162553,8.0,18.001279999768958
corpusChristi_converter_fuelDispenserPipeline,corpusChristi_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,51.001650000591724
corpusChristi_demand_fuelStation,corpusChristi_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,50.99999999999994
corpusChristi_dist_pipelineHighPurity,chocolateBay_dist_pipelineHighPurity,1.0,139083450.292651,20470.001529174002,13.63303,999999.0,128.99335999983606
corpusChristi_dist_pipelineHighPurity,corpusChristi_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,51.001650000591724
dallas_center_highPurity,dallas_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,589.001559999204
dallas_center_lowPurity,dallas_converter_purification,1.0,0.0,0.0,0.0,99999999.9,589.001559999204
dallas_converter_fuelDispenserPipeline,dallas_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,589.001559999204
dallas_converter_purification,dallas_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,589.001559999204
dallas_demand_fuelStation,dallas_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,588.9999999999999
dallas_dist_pipelineHighPurity,dallas_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,589.001559999204
dallas_production_smr-high,dallas_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,589.001559999204
deerPark_demand_lowPurity,deerPark_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
deerPark_dist_pipelineLowPurity,deerPark_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999835
elPaso_converter_fuelDispenserPipeline,elPaso_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,105.00144000081207
elPaso_demand_fuelStation,elPaso_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,104.9999999999999
elPaso_dist_pipelineHighPurity,elPaso_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,105.00144000081207
fortWorth_center_highPurity,fortWorth_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,589.0015599998321
fortWorth_center_lowPurity,fortWorth_converter_purification,1.0,0.0,0.0,0.0,99999999.9,589.0015599998321
fortWorth_converter_fuelDispenserPipeline,fortWorth_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,589.0015599998321
fortWorth_converter_purification,fortWorth_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,589.0015599998321
fortWorth_demand_fuelStation,fortWorth_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,588.9999999999999
fortWorth_dist_pipelineHighPurity,fortWorth_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,589.0015599998321
fortWorth_dist_truckLiquefied,waco_dist_truckLiquefied,3.0,0.0,0.0,73.230084,8.0,21.001299999830817
fortWorth_production_smr-high,fortWorth_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,589.0015599998321
freeport_center_lowPurity,freeport_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.7999999999908
freeport_demand_lowPurity,freeport_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
freeport_dist_pipelineLowPurity,brazoria_dist_pipelineLowPurity,1.0,0.0,5574.229752544253,3.7090200000000006,999999.0,538.0018000003977
freeport_dist_pipelineLowPurity,freeport_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999851
freeport_production_smr-noCCSExisting,freeport_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.7999999999908
houston_center_highPurity,houston_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_center_lowPurity,houston_converter_purification,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_converter_fuelDispenserPipeline,houston_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_converter_purification,houston_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_demand_fuelStation,houston_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,358.99999999999994
houston_dist_pipelineHighPurity,houston_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,359.00155999998714
houston_dist_truckLiquefied,pearland_dist_truckLiquefied,3.0,0.0,0.0,13.991187000000002,8.0,20.001279999866302
houston_production_smr-high,houston_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
