hub,type,latitude,longitude,status,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm
brazoria,city,29.18161,-95.4993375,0,4.15530377308207,0.0462360112044817,0.914163499219
freeport,city,28.9541368,-95.3596617,-1,4.15530377308207,0.0462360112044817,0.914163499219
chocolateBay,city,28.5782264,-96.61216172,-1,4.2225269900588405,0.0416602538515406,0.91308297962
texasCity,city,29.39013,-94.9175485,-1,4.143461432388841,0.0462360112044817,0.91357833147
laPorte,city,29.6657838,-95.0193729,-1,4.14046069680715,0.0462360112044817,0.914349378609
sanJacinto,city,30.5083577,-95.1902362,-1,4.15989232507945,0.0436320168067226,0.916951127847
deerPark,city,29.7052284,-95.1238204,-1,4.14046069680715,0.0462360112044817,0.914349378609
pasadena,city,29.6910753,-95.2092076,-1,4.14046069680715,0.0462360112044817,0.914349378609
channelview,city,29.7760599,-95.1146533,-1,4.14046069680715,0.0462360112044817,0.914349378609
montBelvieu,city,29.8477222,-94.890758,-1,4.161970632847661,0.0462360112044817,0.914021937471
baytown,city,29.7355047,-94.9774274,-1,4.14046069680715,0.0462360112044817,0.914349378609
portArthur,city,29.8988618,-93.9288723,-1,4.18854271537903,0.0462360112044817,0.914379319549
beaumont,city,30.0860459,-94.1018461,0,4.18854271537903,0.0462360112044817,0.914379319549
orange,city,30.1228634,-93.9041169,-1,4.192498118997555,0.0462360112044817,0.914948143065
elPaso,city,31.7865623,-106.441207,0,4.656782291001685,0.0389598133753501,0.971240332493
vanHorn,city,31.0429718,-104.831628,0,4.4355955921964405,0.0389598133753501,0.955274907872
sonora,city,30.5667344,-100.6428592,0,4.199531734659205,0.0389598133753501,0.928060140461
midland,city,31.9973662,-102.077948,0,4.241608162126665,0.0389598133753501,0.940270121098
abilene,city,32.44645,-99.7475905,0,4.053912074471294,0.0389598133753501,0.933288380504
texarkana,city,33.44667445,-94.07714831,0,4.351826731300215,0.0436320168067226,0.9319476563
waco,city,31.549333,-97.1466695,0,4.021041851269,0.0436320168067226,0.92656655858
centerville,city,31.2578221,-95.9785301,0,4.12555324386403,0.0436320168067226,0.92188796401
corpusChristi,city,27.7635302,-97.4033191,0,4.267615799006689,0.0416602538515406,0.913559978917
mcallen,city,26.204114,-98.2300605,0,4.28212799147263,0.0416602538515406,0.91122015908
laredo,city,27.5236998,-99.497352,0,4.304449220943135,0.0416602538515406,0.913499031961
houston,city,29.7589382,-95.3676974,1,4.14046069680715,0.0462360112044817,0.914349378609
sanAntonio,city,29.4246002,-98.4951405,1,4.2669702863307,0.0438604133403361,0.919241878493
austin,city,30.2711286,-97.7436995,1,4.182516115299054,0.0432904264705882,0.921993104311
dallas,city,32.7762719,-96.7968559,1,4.049164359213975,0.0436320168067226,0.9326658535
amarillo,city,35.2072185,-101.833824,0,4.150219348563359,0.0389598133753501,0.946982955933
brownsville,city,25.9140277,-97.4890879,0,4.27128989597433,0.0416602538515406,0.910581757625
collegeStation,city,30.5955289,-96.3071042,0,4.128985647211875,0.0436320168067226,0.918438631755
fortWorth,city,32.753177,-97.3327459,0,4.00392559233102,0.0436320168067226,0.932980206013
killeen,city,31.1171441,-97.727796,0,4.073876451316265,0.0416602538515406,0.92461639422
leagueCity,city,29.5074538,-95.0949303,0,4.143461432388841,0.0462360112044817,0.91357833147
lubbock,city,33.5635206,-101.879336,0,4.15654518013311,0.0389598133753501,0.939822512368
odessa,city,31.8457149,-102.367687,0,4.281039575742305,0.0389598133753501,0.941398556232
pearland,city,29.5639758,-95.2864299,0,4.15530377308207,0.0462360112044817,0.914163499219
sanAngelo,city,31.4649685,-100.4405094,0,4.15923004215599,0.0389598133753501,0.93083435297
sugarLand,city,29.6196787,-95.6349463,0,4.1540436163249,0.0462360112044817,0.91464010179
theWoodlands,city,30.1734194,-95.504686,-1,4.1438416914554,0.0462360112044817,0.916361484263
tyler,city,32.3512601,-95.3010624,0,4.19821397390787,0.0436320168067226,0.916298527609
wichitaFalls,city,33.9004572,-98.5020777,0,4.118744244742699,0.0389598133753501,0.938876458577
