convertor,conv_capacity,conv_cost_capital,conv_cost_fixed,conv_cost_variable,conv_e_price,conv_utilization,fuelStation_cost_capital_subsidy
abilene_converter_fuelDispenserLiquid,31.66888333381089,6346593.379606869,1399.9325715,0,21.817495280000003,0.6,20098952.530590646
amarillo_converter_fuelDispenserLiquid,51.668883333527155,6439719.8995560445,1420.474434,0,21.817495280000003,0.6,33273313.61907544
austin_converter_fuelDispenserPipeline,590.0025999998024,3498375.598079648,1452.1391388,0,85.28213922,0.6,206405069.86428556
austin_converter_purification,372.63322105250677,47943.641408,0.0,0,77.9227668,0.95,n/a
brownsville_converter_fuelDispenserPipeline,46.66944999845958,3455076.820448396,1434.16626885,0,82.07070038,0.6,16124653.491275307
brownsville_converter_purification,29.475442104290256,47350.251416,0.0,0,74.9884572,0.95,n/a
chocolateBay_converter_fuelDispenserPipeline,33.336083333480886,3464567.36215876,1438.1056935,0,82.07070038,0.6,11549510.629938245
corpusChristi_converter_fuelDispenserPipeline,85.00275000098621,3466377.269038398,1438.856966925,0,82.07070038,0.6,29465160.040917218
dallas_converter_fuelDispenserPipeline,981.66926666534,3538871.8751151483,1468.94872005,0,85.95507349,0.6,347400175.8466884
dallas_converter_purification,620.0016421044253,48498.624408,0.0,0,78.5376306,0.95,n/a
elPaso_converter_fuelDispenserPipeline,175.00240000135346,3685237.408608184,1529.7035229,0,108.35,0.6,64492539.10812006
fortWorth_converter_fuelDispenserPipeline,981.6692666663869,3540064.6403985717,1469.44382445,0,85.95507349,0.6,347517265.9491672
fortWorth_converter_purification,620.0016421050864,48514.970712,0.0,0,78.5376306,0.95,n/a
houston_converter_fuelDispenserPipeline,598.3359333333119,3469372.538401198,1440.100271925,0,91.08494167,0.6,207585025.5845242
houston_converter_purification,377.89637894735483,47546.167708,0.0,0,83.2248198,0.95,n/a
killeen_converter_fuelDispenserLiquid,38.33551666652297,6287621.708682106,1386.924591,0,23.32974224,0.6,24103922.680597447
laredo_converter_fuelDispenserPipeline,66.669433333256,3466146.014057584,1438.7609754,0,82.07070038,0.6,23108599.060754307
laredo_converter_purification,231.5754421056646,47501.949664,0.0,0,74.9884572,0.95,n/a
lubbock_converter_fuelDispenserPipeline,66.66955000017832,3566026.826277344,1480.2204564,0,76.75083161,0.6,23774540.379647452
lubbock_converter_liquefaction,182.11631578921842,1887476.564992496,0.0,0,280.5106536,0.95,n/a
lubbock_converter_purification,224.22339999985735,48870.770624,0.0,0,70.1276634,0.95,n/a
lubbock_converter_terminalLiquid,203.54176470559707,77237.433503696,272.54852848,0,0.0,0.85,n/a
mcallen_converter_fuelDispenserPipeline,36.669433334249774,3457499.1449435577,1435.171750425,0,82.07070038,0.6,12678453.439873336
mcallen_converter_purification,23.159642105841957,47383.448268,0.0,0,74.9884572,0.95,n/a
midland_converter_fuelDispenserLiquid,36.66889999962256,6394070.950060129,1410.4051815,0,21.817495280000003,0.6,23446354.825824644
odessa_converter_fuelDispenserLiquid,31.668883333668862,6401744.589040444,1412.097834,0,21.817495280000003,0.6,20273610.25222677
pasadena_converter_fuelDispenserPipeline,40.002716666792764,3469372.538401198,1440.100271925,0,91.08494167,0.6,13878432.666521471
pasadena_converter_purification,25.264873684290166,47546.167708,0.0,0,83.2248198,0.95,n/a
pearland_converter_fuelDispenserLiquid,33.335466666443835,6216539.419911251,1371.2452485000001,0,25.89216616,0.6,20723124.26130856
sanAntonio_converter_fuelDispenserPipeline,661.6692666644277,3487936.450691836,1447.80595785,0,86.40501361,0.6,230786035.35013932
sanAntonio_converter_purification,417.89637894595427,47800.577656,0.0,0,78.9487434,0.95,n/a
sugarLand_converter_fuelDispenserLiquid,30.002133332948265,6219780.438985398,1371.960153,0,25.89216616,0.6,18660668.203210335
waco_converter_fuelDispenserLiquid,35.002166666384696,6300883.316273191,1389.8498385,0,24.43392952,0.6,22054456.79816369
