hub,type,status,geometry,County
brazoria,city,0,POINT (-95.4993375 29.18161),Brazoria County
freeport,city,-1,POINT (-95.3596617 28.9541368),Brazoria County
chocolateBay,city,-1,POINT (-96.61216172 28.5782264),Calhoun County
texasCity,city,-1,POINT (-94.9175485 29.39013),Galveston County
laPorte,city,-1,POINT (-95.0193729 29.6657838),Harris County
sanJacinto,city,-1,POINT (-95.1902362 30.5083577),San Jacinto County
deerPark,city,-1,POINT (-95.1238204 29.7052284),Harris County
pasadena,city,-1,POINT (-95.2092076 29.6910753),Harris County
channelview,city,-1,POINT (-95.1146533 29.7760599),Harris County
montBelvieu,city,-1,POINT (-94.890758 29.8477222),Chambers County
baytown,city,-1,POINT (-94.9774274 29.7355047),Harris County
portArthur,city,-1,POINT (-93.9288723 29.8988618),Jefferson County
beaumont,city,0,POINT (-94.1018461 30.0860459),Jefferson County
orange,city,-1,POINT (-93.9041169 30.1228634),Orange County
elPaso,city,0,POINT (-106.441207 31.7865623),El Paso County
vanHorn,city,0,POINT (-104.831628 31.0429718),Culberson County
sonora,city,0,POINT (-100.6428592 30.5667344),Sutton County
midland,city,0,POINT (-102.077948 31.9973662),Midland County
abilene,city,0,POINT (-99.7475905 32.44645),Taylor County
texarkana,city,0,POINT (-94.07714831 33.44667445),Bowie County
waco,city,0,POINT (-97.1466695 31.549333),McLennan County
centerville,city,0,POINT (-95.9785301 31.2578221),Leon County
corpusChristi,city,0,POINT (-97.4033191 27.7635302),Nueces County
mcallen,city,0,POINT (-98.2300605 26.204114),Hidalgo County
laredo,city,0,POINT (-99.497352 27.5236998),Webb County
houston,city,1,POINT (-95.3676974 29.7589382),Harris County
sanAntonio,city,1,POINT (-98.4951405 29.4246002),Bexar County
austin,city,1,POINT (-97.7436995 30.2711286),Travis County
dallas,city,1,POINT (-96.7968559 32.7762719),Dallas County
amarillo,city,0,POINT (-101.833824 35.2072185),Potter County
brownsville,city,0,POINT (-97.4890879 25.9140277),Cameron County
