startHub,endHub,road_geometry
mcallen,laredo,"LINESTRING (-98.230081 26.204024999999994, -98.232327 26.189916000000007, -98.333744 26.202223, -98.364291 26.232045000000006, -98.423802 26.240479999999994, -98.428847 26.254677999999988, -98.481142 26.266590999999988, -98.529282 26.257346999999992, -98.754624 26.346753000000003, -98.806007 26.378443999999995, -98.874531 26.37288700000002, -98.941539 26.407193999999997, -99.013837 26.403356999999993, -99.029888 26.459796999999995, -99.088431 26.52633400000002, -99.087813 26.61256600000002, -99.127786 26.791129, -99.186227 26.839736000000006, -99.2522 26.864631999999993, -99.265848 26.900018999999997, -99.306194 26.943143999999993, -99.33995800000001 26.951433, -99.387778 27.010152000000026, -99.436528 27.040051, -99.42384 27.105041999999994, -99.422078 27.275571000000003, -99.480031 27.40628700000001, -99.480377 27.506589, -99.507451 27.505677000000006)"
laPorte,deerPark,"LINESTRING (-95.01933 29.665777000000006, -95.028802 29.66536799999999, -95.030024 29.686673999999996, -95.031681 29.688169000000002, -95.04058700000002 29.68858399999999, -95.114091 29.711156000000006, -95.124091 29.711719000000013, -95.123815 29.70522800000001)"
freeport,leagueCity,"LINESTRING (-95.359698 28.954035999999974, -95.328408 28.99638900000001, -95.327564 29.02853699999998, -95.35902100000001 29.066294999999997, -95.372066 29.109888000000012, -95.391634 29.132933999999988, -95.395329 29.16841000000001, -95.387824 29.18005800000001, -95.387808 29.195108999999995, -95.394539 29.203426000000007, -95.291553 29.324467, -95.248195 29.39623, -95.233666 29.406812000000013, -95.226704 29.430474999999998, -95.238388 29.44803900000001, -95.208678 29.493328999999992, -95.188461 29.509218000000022, -95.177498 29.494626999999998, -95.157938 29.489050999999986, -95.094971 29.507551999999986)"
leagueCity,pearland,"LINESTRING (-95.094971 29.507551999999986, -95.128577 29.499841000000004, -95.155646 29.489312000000005, -95.170514 29.491559, -95.17834 29.495372000000007, -95.184275 29.505047000000005, -95.188461 29.509218000000022, -95.191307 29.521334000000003, -95.21016100000001 29.536855999999993, -95.232539 29.547644999999974, -95.243641 29.54788400000001, -95.280043 29.56329299999998, -95.286387 29.563976000000004)"
collegeStation,houston,"LINESTRING (-96.34554 30.61834300000001, -96.334747 30.627522999999993, -96.292787 30.593878000000007, -96.103426 30.415067000000008, -96.07434600000002 30.401272999999993, -96.067871 30.376226999999986, -96.0246 30.369485, -95.995289 30.353144000000015, -95.965235 30.355319, -95.927175 30.308679999999995, -95.824685 30.293994999999995, -95.779799 30.250813000000004, -95.743302 30.246873999999988, -95.73598400000002 30.229849000000005, -95.679212 30.18003399999998, -95.629289 30.072458999999995, -95.561211 29.970518000000006, -95.46252 29.898242000000007, -95.429342 29.897978000000016, -95.410127 29.87344199999999, -95.37405400000002 29.810058000000023, -95.36786300000001 29.758731)"
orange,beaumont,"LINESTRING (-93.903742 30.122599999999977, -93.904741 30.121211999999975, -93.90785 30.120615000000004, -93.907351 30.105180000000008, -93.903531 30.104622, -93.883278 30.11380099999998, -93.880549 30.117040999999993, -93.882794 30.13022700000001, -93.907284 30.130971000000006, -93.969028 30.12939, -94.001166 30.135583000000018, -94.00702 30.13553500000001, -94.018948 30.129873999999994, -94.066295 30.098399000000015, -94.074782 30.09552900000001, -94.100431 30.094516000000006, -94.101721 30.092830000000024, -94.101849 30.086125999999997)"
corpusChristi,laredo,"LINESTRING (-97.403232 27.7634, -97.44027 27.786034999999977, -97.634022 27.783285000000003, -97.654411 27.785837, -97.658936 27.798756999999984, -97.766255 27.811462000000017, -97.933626 27.777179000000018, -98.021236 27.780939000000004, -98.064711 27.750917000000005, -98.088948 27.746095, -98.202611 27.755993, -98.402419 27.801681000000002, -98.583859 27.882502000000002, -98.638645 27.882422000000002, -98.747724 27.843598999999998, -98.79900600000002 27.794386999999997, -98.984831 27.714653, -99.160462 27.658484000000016, -99.26311 27.595145999999982, -99.395583 27.560116999999998, -99.430413 27.529971000000028, -99.445669 27.528392, -99.448982 27.51676400000002, -99.503484 27.517101999999994, -99.507451 27.505677000000006)"
pasadena,pearland,"LINESTRING (-95.209285 29.69106700000001, -95.209345 29.69282100000001, -95.2114 29.692655000000027, -95.20911700000002 29.687969999999986, -95.208049 29.675289999999993, -95.207741 29.641842, -95.209294 29.638274999999993, -95.225227 29.627869000000018, -95.285485 29.625499999999995, -95.286387 29.563976000000004)"
laPorte,leagueCity,"LINESTRING (-95.01933 29.665777000000006, -95.029764 29.66528400000001, -95.02987 29.63690399999999, -95.034418 29.623294000000012, -95.032 29.603329000000006, -95.02918 29.59314399999999, -95.029312 29.584246, -95.026146 29.563416000000004, -95.02209400000001 29.544913, -95.018291 29.53807000000001, -95.027473 29.531466, -95.043935 29.52706700000002, -95.07641 29.52300699999998, -95.094971 29.507551999999986)"
sanAngelo,midland,"LINESTRING (-100.440481 31.464924999999997, -100.477763 31.498084000000006, -100.501274 31.54871199999999, -100.624227 31.593465000000013, -100.713458 31.667796999999986, -100.761585 31.684875000000016, -100.842258 31.76414400000001, -100.923647 31.796191999999994, -100.966659 31.83519400000001, -101.01781400000002 31.840836000000003, -101.036768 31.855592, -101.108077 31.857353999999997, -101.150802 31.84878500000002, -101.220018 31.80491299999998, -101.267785 31.801197000000027, -101.306039 31.807079999999985, -101.376729 31.847607999999997, -101.473314 31.865421, -101.62028400000001 31.863908999999996, -102.039231 31.982914000000005, -102.074299 31.973013999999967, -102.033653 31.84458500000001, -102.020271 31.847556000000022, -102.008892 31.832329999999995)"
montBelvieu,channelview,"LINESTRING (-94.890783 29.847938000000003, -94.895436 29.847546999999995, -94.894756 29.83697400000001, -94.89945 29.822182999999995, -94.919002 29.821147999999987, -94.942917 29.811404999999986, -95.009891 29.800338000000004, -95.02590400000001 29.799706999999998, -95.05175 29.790585000000014, -95.056567 29.790760000000006, -95.067298 29.795181000000028, -95.072052 29.79513800000001, -95.106624 29.785421000000028, -95.10539 29.78137200000001, -95.114654 29.776139999999984)"
freeport,brazoria,"LINESTRING (-95.359698 28.954035999999974, -95.373713 28.957954000000033, -95.37076000000002 28.970835999999995, -95.386073 29.000937, -95.403064 29.009556999999987, -95.419234 29.01007, -95.429343 29.01379400000001, -95.439987 29.03016300000001, -95.45381900000001 29.040565000000015, -95.455642 29.054200000000016, -95.451838 29.066207000000013, -95.451111 29.118635000000012, -95.452995 29.17895000000001, -95.450548 29.183825000000002, -95.464302 29.195713000000016, -95.470489 29.19016400000001, -95.484721 29.190482, -95.49952000000002 29.181846000000014)"
pearland,houston,"LINESTRING (-95.286387 29.563976000000004, -95.28554300000002 29.630903999999983, -95.288852 29.63861199999999, -95.29199400000002 29.699487000000005, -95.373008 29.750573000000003, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.367184 29.76053799999999, -95.36786300000001 29.758731)"
orange,tyler,"LINESTRING (-93.903742 30.122599999999977, -93.90785 30.120615000000004, -93.907351 30.105180000000008, -93.880549 30.117040999999993, -93.882794 30.13022700000001, -93.969028 30.12939, -94.00565500000002 30.13574099999998, -94.071628 30.096396999999968, -94.132698 30.096170999999984, -94.138639 30.110739, -94.175984 30.14192699999999, -94.193373 30.22258, -94.257423 30.325004, -94.29177 30.350044999999987, -94.312507 30.370215999999996, -94.316285 30.38195200000002, -94.384063 30.445810000000012, -94.3993 30.50512000000001, -94.402135 30.607404999999993, -94.408899 30.616225999999997, -94.386634 30.668920999999983, -94.398247 30.696659999999998, -94.427947 30.730791999999994, -94.430842 30.742408000000015, -94.414943 30.768789999999992, -94.404315 30.764887999999996, -94.404158 30.757716)"
baytown,montBelvieu,"LINESTRING (-94.97759300000001 29.735551000000005, -94.981158 29.740439000000006, -94.977134 29.745384000000012, -94.977096 29.749645, -94.958727 29.751054999999972, -94.942576 29.755219, -94.929791 29.757050000000003, -94.924828 29.760000999999992, -94.921591 29.765390000000007, -94.914898 29.772183000000005, -94.91052700000002 29.79027200000003, -94.904625 29.80062700000002, -94.89492 29.83619399999999, -94.895436 29.847546999999995, -94.890783 29.847938000000003)"
deerPark,leagueCity,"LINESTRING (-95.123815 29.70522800000001, -95.123964 29.711716000000013, -95.153786 29.712389999999996, -95.157938 29.643718999999987, -95.173786 29.627585, -95.204686 29.60604099999999, -95.127356 29.524908000000007, -95.114436 29.503014000000007, -95.094971 29.507551999999986)"
killeen,waco,"LINESTRING (-97.727792 31.117227999999997, -97.68886600000002 31.095563999999996, -97.617174 31.079767999999998, -97.555058 31.05538799999999, -97.510689 31.055366999999997, -97.468322 31.045815000000008, -97.435662 31.060854999999986, -97.407167 31.084183999999986, -97.362988 31.098593000000015, -97.351779 31.121295000000003, -97.333521 31.129633000000002, -97.30054900000002 31.212805000000003, -97.223822 31.335548000000028, -97.205883 31.40124299999998, -97.129361 31.53476699999998, -97.147339 31.54909000000001)"
texasCity,leagueCity,"LINESTRING (-94.917544 29.395026000000016, -94.91620600000002 29.395031000000007, -94.916196 29.393368999999993, -94.92563 29.393285999999996, -94.932259 29.395237999999985, -94.975389 29.395738000000016, -95.006025 29.397990000000032, -95.026724 29.403365, -95.037406 29.40812200000002, -95.06927300000001 29.439493999999993, -95.080171 29.452912, -95.095299 29.471970000000002, -95.113512 29.50284300000001, -95.094971 29.507551999999986)"
vanHorn,midland,"LINESTRING (-104.831587 31.04297499999998, -104.41399 31.073448999999993, -104.158797 31.060480000000005, -104.06125600000001 31.084750000000003, -103.854142 31.26924600000001, -103.741872 31.339578999999993, -103.55618000000001 31.406314, -103.4978 31.395753000000006, -103.39817100000002 31.419484000000033, -103.331085 31.47412100000001, -102.87652 31.57925, -102.609902 31.730677000000018, -102.425407 31.81680499999999, -102.343584 31.83098699999999, -102.116586 31.962069000000003, -102.073768 31.971726000000032, -102.033653 31.84458500000001, -102.008892 31.832329999999995)"
baytown,laPorte,"LINESTRING (-94.97759300000001 29.735551000000005, -94.978437 29.734915000000015, -94.978189 29.733648000000006, -94.979079 29.732608999999993, -94.978397 29.726574, -94.979524 29.720211000000003, -94.985916 29.72159699999999, -94.992093 29.723890000000022, -94.99481 29.720002999999995, -95.000666 29.714121000000013, -95.012107 29.70752400000002, -95.026718 29.695766000000006, -95.02954000000001 29.69249300000001, -95.030567 29.68883499999998, -95.029528 29.671636999999997, -95.029764 29.66528400000001, -95.01933 29.665777000000006)"
pasadena,deerPark,"LINESTRING (-95.209285 29.69106700000001, -95.209548 29.711119000000007, -95.195693 29.712125000000004, -95.19252 29.712710000000005, -95.18956 29.712865000000022, -95.149037 29.711799, -95.133732 29.711037, -95.12408 29.711127000000012, -95.123929 29.705046, -95.123815 29.70522800000001)"
odessa,vanHorn,"LINESTRING (-102.367677 31.845699999999972, -102.514364 31.768725999999976, -102.610352 31.730679999999996, -102.799636 31.62019299999998, -102.84427400000001 31.607200000000002, -102.87694200000001 31.579295999999992, -102.944747 31.57533800000001, -103.327759 31.475238000000008, -103.398096 31.419714000000006, -103.49842 31.39589000000001, -103.556289 31.406481000000017, -103.741816 31.339833, -103.854305 31.269380999999996, -104.070459 31.083911, -104.100514 31.084426, -104.159029 31.060793999999998, -104.413745 31.073787000000006, -104.739504 31.042878999999992, -104.831587 31.04297499999998)"
channelview,laPorte,"LINESTRING (-95.114654 29.776139999999984, -95.114443 29.777, -95.115965 29.777057999999982, -95.116042 29.780794000000007, -95.109065 29.784022999999998, -95.0917 29.789865999999996, -95.067976 29.795142, -95.056849 29.790674000000003, -95.048791 29.789909999999992, -95.022268 29.778816000000013, -95.002819 29.75990699999998, -94.99041900000002 29.752617999999995, -94.987202 29.74676100000001, -94.994482 29.735076999999993, -94.991563 29.726223000000005, -94.992443 29.722400000000007, -94.998983 29.715307000000003, -95.012107 29.70752400000002, -95.026718 29.695766000000006, -95.030215 29.690737000000016, -95.029764 29.66528400000001, -95.01933 29.665777000000006)"
brownsville,laredo,"LINESTRING (-97.498138 25.902401000000015, -97.490947 25.927501000000007, -97.534532 26.031371999999994, -97.60253 26.1082, -97.718131 26.188504999999992, -97.935287 26.151366999999997, -98.184141 26.207147000000013, -98.217581 26.187836000000008, -98.332285 26.201892000000015, -98.364291 26.232045000000006, -98.481142 26.266590999999988, -98.529282 26.257346999999992, -98.806007 26.378443999999995, -98.874531 26.37288700000002, -98.941539 26.407193999999997, -99.01367700000002 26.403205999999997, -99.029888 26.459796999999995, -99.088431 26.52633400000002, -99.127786 26.791129, -99.2522 26.864631999999993, -99.306194 26.943143999999993, -99.33995800000001 26.951433, -99.436528 27.040051, -99.422078 27.275571000000003, -99.480031 27.40628700000001, -99.480377 27.506589, -99.507451 27.505677000000006)"
