startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
theWoodlands,houston2L,43.58125192581111,48.3883,0
weatherfordL,fortWorth,38.38054931277219,41.287099999999995,0
baytownL,baytown,8.726680387317021,9.4185,0
orange,beaumont,19.452687021971258,30.3563,0
vanHornL,vanHorn,1.2208678481398874,1.9573,0
pasadena,houston1L,13.224663199870925,18.097900000000003,0
seguinL,corpusChristi,208.30550174725082,267.7571,0
sanAntonio2L,seguinL,34.01386727452704,35.3626,0
abilene,sanAngelo,126.76547195755501,142.2453,0
dentonL,annaL,56.0936600753817,69.21860000000001,0
amarillo,odessa,375.66411319426896,416.0987,0
baytown,laPorte,8.714230090153835,12.2735,0
texarkana,tyler,166.6558404066284,186.1535,0
houston,houston1L,10.486653477897764,12.282399999999999,0
weimarL,hungerfordL,75.53010839630188,96.1538,0
midlothianL,fortWorth,42.45581817145608,46.7115,0
lulingL,sanAntonio,90.9696352951419,93.9932,0
pasadena,houston,17.04963237240413,22.9097,0
montBelvieu,deerParkL,24.949176678409607,31.9953,0
dallas2L,dallas1L,8.06832564447066,9.3113,0
dallas2L,fortWorthL,45.047698252184084,54.9523,0
laredo,sanAntonio1L,215.82474226554388,230.60829999999999,0
lubbock,odessa,195.57908673153077,221.91279999999998,0
elPasoL,lasCrucesL,93.37057117707265,113.3514,0
waco,killeen,73.0219804307385,94.9532,0
collegeStation,wallerL,70.26694308755238,83.10310000000001,0
troyL,waco,42.619929607991786,45.2266,0
rhomeL,weatherfordL,42.35089543846677,71.8304,0
dallas2L,dallas,15.512034890405621,18.057299999999998,0
theWoodlands,wallerL,40.398403081091516,56.285,0
chocolateBay,freeport,129.06276020952996,163.3355,1
brazoria,leagueCity,53.27223097359212,62.845,0
midlothianL,almaL,48.90699726385431,56.105,0
midlothianL,dallas1L,30.70437175463543,36.7304,0
sanAntonio3L,nataliaL,26.142221950786237,27.2955,0
midlothianL,fortWorthL,31.460724788196543,37.985099999999996,0
comfortL,sanAntonio,73.20355409915028,77.5625,0
baytownL,channelview,8.280018013069402,9.281,0
eloyL,willcoxL,181.21169728646836,227.4477,0
amarillo,lubbock,182.2704554090408,199.568,0
sanAntonio1L,sanAntonio,17.304952880106608,19.4108,0
sanJacinto,clevelandL,19.46791269966514,23.6772,0
rockwallL,dallas,38.62143670013954,40.469,0
tyler,dallas,147.8871244306069,157.45170000000002,0
channelview,deerPark,7.887419156819041,14.5869,1
baytown,deerParkL,11.572385294171939,15.2508,0
sanAntonio3L,sanAntonio,17.304952880106608,19.4108,0
elPasoL,anthonyL,49.545388934925654,61.190599999999996,0
rhomeL,wichitaFalls,132.87016355958025,143.8126,0
willisL,centerville,101.75048655486871,111.3696,0
leagueCity,deerParkL,22.08193747401255,32.1215,0
sanAntonio2L,sanAntonio,13.209638069650667,14.2229,0
theWoodlands,clevelandL,44.48161553041257,55.955,0
chocolateBay,brazoria,127.34058167235409,142.3629,0
hillsboroL,waco,51.16734911226493,54.7648,0
willisL,collegeStation,79.43017622486323,98.75580000000001,0
troyL,hillsboroL,92.87701171434057,97.60860000000001,0
midlothianL,hutchinsL,33.595088033606686,44.9384,0
laPorte,leagueCity,18.98328403312727,23.9321,0
brazoria,pearland,47.079584211249504,57.174699999999994,0
fortStocktonL,vanHorn,189.43338558930887,196.63029999999998,0
chocolateBay,weimarL,124.14581267985464,159.627,0
sanAntonio2L,lulingL,77.81603958172205,80.889,0
bridgeportL,dentonL,52.169569392119165,57.874,0
weimarL,corpusChristi,221.91237271937504,255.0962,0
deerPark,sanJacinto,89.08890287470837,112.6025,1
seguinL,sanAntonio,47.07660987278178,48.2585,0
weatherfordL,wichitaFalls,146.34496946043024,176.4092,0
nataliaL,corpusChristi,211.3471527040838,235.1754,0
freeport,brazoria,28.607051916369233,37.0205,1
sanAntonio3L,sanAntonio1L,0.0,0.0,0
bridgeportL,abilene,206.4866916964188,272.4865,0
lordsburgL,lasCrucesL,170.74083886827904,180.783,0
sanJacinto,willisL,30.578277235125014,46.705,0
orange,portArthur,24.89853207662192,32.388400000000004,1
italy L,fairfieldL,84.94357497026792,116.3488,0
midland,sanAngelo,165.67577716960804,180.15470000000002,0
sanAntonio2L,sanAntonio1L,29.126636200237844,32.0601,0
hutchinsL,tyler,134.09124641481023,154.74460000000002,0
sonoraL,comfortL,174.2055749335059,191.7714,0
channelview,houston1L,15.106514692058893,17.671,0
baytown,texasCity,38.65499995269621,46.555699999999995,0
texasCity,leagueCity,21.534664286710065,27.350099999999998,0
brownsville,corpusChristi,205.2780293557151,258.5963,0
dallas2L,almaL,47.91406179362729,59.462199999999996,0
tollesonL,coachellaL,365.6511083279957,375.3967,0
corpusChristi,sanAntonio,212.6100741096429,233.687,0
fortWorthL,dallas,52.55721908455496,66.7317,0
amarillo,abilene,361.6363990468755,457.1528,0
channelview,pasadena,13.107569082769269,19.2912,1
elPasoL,elPaso,23.84043169048064,28.3006,0
sonora,sanAngelo,101.23009834381828,106.1404,0
channelview,deerParkL,7.9300505528633,17.5736,0
fairfieldL,tyler,107.98221536357788,136.42229999999998,0
hutchinsL,almaL,39.789782305365755,43.740199999999994,0
sanAntonio2L,austin,108.80036092192051,123.7596,0
hutchinsL,dallas1L,6.733065035659271,8.6039,0
montBelvieu,baytown,14.971502939384079,17.9039,1
sugarLand,wallerL,55.7083295662972,70.4517,0
pasadena,houston2L,19.46857906237164,26.6948,0
brazoria,sugarLand,50.22847786346735,67.6101,0
dallas2L,rockwallL,49.85313795674603,58.7505,0
midlothianL,dallas2L,23.76583839631929,27.9866,0
tyler,dallas1L,140.4739319105462,152.2126,0
katyL,houston2L,49.463438829690055,53.3753,0
hutchinsL,dallas,19.426324920676123,21.708299999999998,0
fortStocktonL,midland,142.52412526130823,188.4433,0
bridgeportL,weatherfordL,52.960685105911246,66.6016,0
willisL,wallerL,56.79320859778068,93.0948,0
amarillo,midland,356.32422968147034,384.5774,0
hutchinsL,rockwallL,41.47187704583282,53.07,0
corpusChristi,sanAntonio1L,208.45954245894586,239.8099,0
annaL,dallas1L,77.95102631426342,86.1839,0
texasCity,chocolateBay,187.8174872922006,215.0254,1
midland,odessa,32.08355560219389,36.3666,0
houston,sanAntonio,304.7101031170919,315.3022,1
tyler,rockwallL,122.09879201773045,137.8868,0
texasCity,pearland,40.569584687977404,46.6761,0
nataliaL,laredo,194.7021419424694,203.7804,0
laPorte,deerParkL,8.42637450236838,10.169,0
laredo,corpusChristi,208.31233618248834,225.24929999999998,0
annaL,dallas,66.0242545215967,69.6809,0
italy L,midlothianL,33.710952569732974,41.5062,0
houston2L,wallerL,59.48650373833947,63.8919,0
abilene,fortWorthL,228.49309042864263,251.35029999999998,0
baytownL,montBelvieu,14.753250934835444,16.9531,0
almaL,fairfieldL,70.6579603162855,76.89710000000001,0
hungerfordL,corpusChristi,222.0116778697242,253.42620000000002,0
centerville,collegeStation,79.69262405649195,109.274,0
annaL,rockwallL,49.69905420354505,83.1376,0
bridgeportL,wichitaFalls,103.35694063707587,131.7279,0
comfortL,sanAntonio1L,79.21128194298694,93.6497,0
comfortL,sonora,179.13997844332,197.8702,0
lulingL,austin,69.85659223892347,76.9666,0
bensonL,willcoxL,57.71821407021911,62.9478,0
deerPark,laPorte,10.995092538119218,13.562299999999999,0
brownsville,laredo,268.09641557225274,328.4013,0
eloyL,bensonL,155.76540443787883,165.13139999999999,0
quartzsiteL,coachellaL,178.85628093538213,184.6344,0
willisL,clevelandL,40.08678386275348,46.9635,0
annaL,texarkana,233.16915682459782,274.0462,0
weimarL,katyL,87.00663367048959,89.6665,0
hillsboroL,italy L,27.424253189714317,30.143900000000002,0
vanHornL,elPaso,174.66073492547818,193.4955,0
baytown,sanJacinto,87.92498723645177,122.3095,1
montBelvieu,channelview,23.013472895903284,25.875,1
texasCity,freeport,64.59633434363035,76.89439999999999,0
buckeyeL,eloyL,110.13415624837229,138.5358,0
katyL,wallerL,31.577063469812877,50.9551,0
vanHorn,elPaso,173.4741503109335,193.0757,0
texasCity,deerParkL,38.945247092978235,44.7438,0
troyL,austin,109.83394535329671,119.042,0
midland,lubbock,174.37469887888997,190.5037,0
chandlerL,eloyL,58.994165680511294,61.600199999999994,0
odessa,sanAngelo,187.19692431784654,212.6619,0
comfortL,austin,116.01759276027306,149.23160000000001,0
bensonL,lordsburgL,157.56913263845468,178.6756,0
seguinL,lulingL,43.97698075402038,46.197300000000006,0
tollesonL,chandlerL,32.41406099274633,45.292199999999994,0
laPorte,texasCity,32.055914228408945,36.389300000000006,1
tollesonL,quartzsiteL,186.97784384084122,191.5308,0
theWoodlands,houston1L,47.27784509569208,56.6974,0
hillsboroL,fairfieldL,91.4659162956063,122.03389999999999,0
